"","Sample","strain","replication","substrate","concentration","hour","values","substrate_groups","temperature"
"25898","576/24","G321/23","3","Cetylpyridinium chloride",2,24,0.295,"membrane function compounds","30"
"25899","590/24","G322/23","2","Cetylpyridinium chloride",2,0,0.098,"membrane function compounds","30"
"25900","589/24","G322/23","1","Cetylpyridinium chloride",2,72,1.563,"membrane function compounds","30"
"25901","575/24","G321/23","2","Cetylpyridinium chloride",2,96,0.402,"membrane function compounds","30"
"25902","575/24","G321/23","2","Cetylpyridinium chloride",2,24,0.325,"membrane function compounds","30"
"25903","576/24","G321/23","3","Cetylpyridinium chloride",2,72,0.378,"membrane function compounds","30"
"25904","604/24","G323/23","1","Cetylpyridinium chloride",2,72,0.196,"membrane function compounds","30"
"25905","575/24","G321/23","2","Cetylpyridinium chloride",2,48,0.364,"membrane function compounds","30"
"25906","606/24","G323/23","3","Cetylpyridinium chloride",2,72,0.345,"membrane function compounds","30"
"25907","591/24","G322/23","3","Cetylpyridinium chloride",2,0,0.095,"membrane function compounds","30"
"25908","576/24","G321/23","3","Cetylpyridinium chloride",2,96,0.356,"membrane function compounds","30"
"25909","605/24","G323/23","2","Cetylpyridinium chloride",2,96,0.127,"membrane function compounds","30"
"25910","589/24","G322/23","1","Cetylpyridinium chloride",2,24,0.196,"membrane function compounds","30"
"25911","590/24","G322/23","2","Cetylpyridinium chloride",2,48,0.878,"membrane function compounds","30"
"25912","576/24","G321/23","3","Cetylpyridinium chloride",2,48,0.324,"membrane function compounds","30"
"25913","574/24","G321/23","1","Cetylpyridinium chloride",2,72,0.143,"membrane function compounds","30"
"25914","589/24","G322/23","1","Cetylpyridinium chloride",2,96,1.595,"membrane function compounds","30"
"25915","604/24","G323/23","1","Cetylpyridinium chloride",2,0,0.101,"membrane function compounds","30"
"25916","604/24","G323/23","1","Cetylpyridinium chloride",2,96,0.325,"membrane function compounds","30"
"25917","575/24","G321/23","2","Cetylpyridinium chloride",2,72,0.395,"membrane function compounds","30"
"25918","605/24","G323/23","2","Cetylpyridinium chloride",2,0,0.105,"membrane function compounds","30"
"25919","605/24","G323/23","2","Cetylpyridinium chloride",2,72,0.168,"membrane function compounds","30"
