"","Sample","strain","replication","substrate","concentration","hour","values","substrate_groups","temperature"
"333","423/24","G323/23","1","Ammonium Sulfate",2,0,0.104,"salts","24"
"334","410/24","G322/23","3","Ammonium Sulfate",2,0,0.092,"salts","24"
"335","423/24","G323/23","1","Ammonium Sulfate",2,48,0.107,"salts","24"
"336","395/24","G321/23","3","Ammonium Sulfate",2,72,0.29,"salts","24"
"337","425/24","G323/23","3","Ammonium Sulfate",2,24,0.097,"salts","24"
"338","425/24","G323/23","3","Ammonium Sulfate",2,72,0.29,"salts","24"
"339","410/24","G322/23","3","Ammonium Sulfate",2,24,0.094,"salts","24"
"340","393/24","G321/23","1","Ammonium Sulfate",2,24,0.098,"salts","24"
"341","395/24","G321/23","3","Ammonium Sulfate",2,24,0.106,"salts","24"
"342","423/24","G323/23","1","Ammonium Sulfate",2,96,0.12,"salts","24"
"343","395/24","G321/23","3","Ammonium Sulfate",2,96,0.839,"salts","24"
"344","393/24","G321/23","1","Ammonium Sulfate",2,0,0.096,"salts","24"
"345","408/24","G322/23","1","Ammonium Sulfate",2,48,0.146,"salts","24"
"346","394/24","G321/23","2","Ammonium Sulfate",2,96,0.115,"salts","24"
"347","425/24","G323/23","3","Ammonium Sulfate",2,96,0.533,"salts","24"
"348","424/24","G323/23","2","Ammonium Sulfate",2,24,0.098,"salts","24"
"349","424/24","G323/23","2","Ammonium Sulfate",2,48,0.097,"salts","24"
"350","408/24","G322/23","1","Ammonium Sulfate",2,96,0.122,"salts","24"
"351","424/24","G323/23","2","Ammonium Sulfate",2,72,0.118,"salts","24"
"352","408/24","G322/23","1","Ammonium Sulfate",2,72,0.127,"salts","24"
"353","409/24","G322/23","2","Ammonium Sulfate",2,72,0.241,"salts","24"
"354","393/24","G321/23","1","Ammonium Sulfate",2,96,0.133,"salts","24"
"355","408/24","G322/23","1","Ammonium Sulfate",2,24,0.136,"salts","24"
"356","409/24","G322/23","2","Ammonium Sulfate",2,0,0.126,"salts","24"
"357","409/24","G322/23","2","Ammonium Sulfate",2,24,0.171,"salts","24"
"358","394/24","G321/23","2","Ammonium Sulfate",2,72,0.096,"salts","24"
"359","423/24","G323/23","1","Ammonium Sulfate",2,48,0,"salts","24"
"360","394/24","G321/23","2","Ammonium Sulfate",2,0,0.111,"salts","24"
"361","393/24","G321/23","1","Ammonium Sulfate",2,72,0.104,"salts","24"
"362","425/24","G323/23","3","Ammonium Sulfate",2,0,0.091,"salts","24"
"363","424/24","G323/23","2","Ammonium Sulfate",2,96,0.652,"salts","24"
"364","409/24","G322/23","2","Ammonium Sulfate",2,96,0.918,"salts","24"
"365","426/24","G323/23","1","Zaragozic acid A",2,96,0.328,"others","24"
"366","396/24","G321/23","1","Zaragozic acid A",2,72,0.108,"others","24"
"367","428/24","G323/23","3","Zaragozic acid A",2,0,0.092,"others","24"
"368","397/24","G321/23","2","Zaragozic acid A",2,48,0.108,"others","24"
"369","398/24","G321/23","3","Zaragozic acid A",2,0,0.098,"others","24"
"370","426/24","G323/23","1","Zaragozic acid A",2,24,0.1,"others","24"
"371","427/24","G323/23","2","Zaragozic acid A",2,96,0.102,"others","24"
"372","428/24","G323/23","3","Zaragozic acid A",2,48,0.113,"others","24"
"373","397/24","G321/23","2","Zaragozic acid A",2,96,0.1,"others","24"
"374","398/24","G321/23","3","Zaragozic acid A",2,72,0.191,"others","24"
"375","397/24","G321/23","2","Zaragozic acid A",2,72,0.102,"others","24"
"376","396/24","G321/23","1","Zaragozic acid A",2,24,0.116,"others","24"
"377","412/24","G322/23","2","Zaragozic acid A",2,48,0.122,"others","24"
"378","412/24","G322/23","2","Zaragozic acid A",2,72,0.099,"others","24"
"379","413/24","G322/23","3","Zaragozic acid A",2,72,0.176,"others","24"
"380","413/24","G322/23","3","Zaragozic acid A",2,48,0.165,"others","24"
"381","396/24","G321/23","1","Zaragozic acid A",2,48,0.13,"others","24"
"382","426/24","G323/23","1","Zaragozic acid A",2,72,0.114,"others","24"
"383","412/24","G322/23","2","Zaragozic acid A",2,0,0.095,"others","24"
"384","397/24","G321/23","2","Zaragozic acid A",2,24,0.103,"others","24"
"385","413/24","G322/23","3","Zaragozic acid A",2,0,0.098,"others","24"
"386","398/24","G321/23","3","Zaragozic acid A",2,48,0.223,"others","24"
"387","413/24","G322/23","3","Zaragozic acid A",2,96,0.182,"others","24"
"388","426/24","G323/23","1","Zaragozic acid A",2,0,0.093,"others","24"
"389","398/24","G321/23","3","Zaragozic acid A",2,96,0.146,"others","24"
"390","412/24","G322/23","2","Zaragozic acid A",2,96,0.1,"others","24"
"391","426/24","G323/23","1","Zaragozic acid A",2,48,0.102,"others","24"
"392","412/24","G322/23","2","Zaragozic acid A",2,24,0.098,"others","24"
"393","428/24","G323/23","3","Zaragozic acid A",2,24,0.095,"others","24"
"394","396/24","G321/23","1","Zaragozic acid A",2,96,0.242,"others","24"
"395","411/24","G322/23","1","Zaragozic acid A",2,72,0.407,"others","24"
"396","411/24","G322/23","1","Zaragozic acid A",2,24,0.098,"others","24"
"397","411/24","G322/23","1","Zaragozic acid A",2,48,0.124,"others","24"
"398","427/24","G323/23","2","Zaragozic acid A",2,0,0.098,"others","24"
"399","427/24","G323/23","2","Zaragozic acid A",2,48,0.102,"others","24"
"400","427/24","G323/23","2","Zaragozic acid A",2,72,0.103,"others","24"
"401","398/24","G321/23","3","Zaragozic acid A",2,24,0.178,"others","24"
"402","396/24","G321/23","1","Zaragozic acid A",2,0,0.098,"others","24"
"403","427/24","G323/23","2","Zaragozic acid A",2,24,0.101,"others","24"
"404","397/24","G321/23","2","Zaragozic acid A",2,0,0.095,"others","24"
"405","411/24","G322/23","1","Zaragozic acid A",2,0,0.094,"others","24"
"406","428/24","G323/23","3","Zaragozic acid A",2,72,0.103,"others","24"
"407","413/24","G322/23","3","Zaragozic acid A",2,24,0.157,"others","24"
"408","428/24","G323/23","3","Zaragozic acid A",2,96,0.104,"others","24"
"409","411/24","G322/23","1","Zaragozic acid A",2,96,1.008,"others","24"
"410","429/24","G323/23","1","Niaproof",2,96,0.216,"membrane function compounds","24"
"411","430/24","G323/23","2","Niaproof",2,24,0.265,"membrane function compounds","24"
"412","415/24","G322/23","2","Niaproof",2,48,0.102,"membrane function compounds","24"
"413","399/24","G321/23","1","Niaproof",2,0,0.104,"membrane function compounds","24"
"414","416/24","G322/23","3","Niaproof",2,0,0.119,"membrane function compounds","24"
"415","416/24","G322/23","3","Niaproof",2,24,0.186,"membrane function compounds","24"
"416","431/24","G323/23","3","Niaproof",2,96,0.241,"membrane function compounds","24"
"417","399/24","G321/23","1","Niaproof",2,48,0.141,"membrane function compounds","24"
"418","401/24","G321/23","3","Niaproof",2,72,0.231,"membrane function compounds","24"
"419","416/24","G322/23","3","Niaproof",2,96,1.31,"membrane function compounds","24"
"420","430/24","G323/23","2","Niaproof",2,0,0.113,"membrane function compounds","24"
"421","399/24","G321/23","1","Niaproof",2,72,0.168,"membrane function compounds","24"
"422","415/24","G322/23","2","Niaproof",2,0,0.093,"membrane function compounds","24"
"423","414/24","G322/23","1","Niaproof",2,0,0.104,"membrane function compounds","24"
"424","399/24","G321/23","1","Niaproof",2,24,0.122,"membrane function compounds","24"
"425","414/24","G322/23","1","Niaproof",2,72,0.117,"membrane function compounds","24"
"426","414/24","G322/23","1","Niaproof",2,96,0.504,"membrane function compounds","24"
"427","416/24","G322/23","3","Niaproof",2,72,0.509,"membrane function compounds","24"
"428","431/24","G323/23","3","Niaproof",2,24,0.191,"membrane function compounds","24"
"429","401/24","G321/23","3","Niaproof",2,48,0.367,"membrane function compounds","24"
"430","429/24","G323/23","1","Niaproof",2,0,0.113,"membrane function compounds","24"
"431","401/24","G321/23","3","Niaproof",2,24,0.332,"membrane function compounds","24"
"432","430/24","G323/23","2","Niaproof",2,72,0.344,"membrane function compounds","24"
"433","400/24","G321/23","2","Niaproof",2,24,0.102,"membrane function compounds","24"
"434","431/24","G323/23","3","Niaproof",2,72,0.125,"membrane function compounds","24"
"435","399/24","G321/23","1","Niaproof",2,96,0.382,"membrane function compounds","24"
"436","415/24","G322/23","2","Niaproof",2,72,0.52,"membrane function compounds","24"
"437","401/24","G321/23","3","Niaproof",2,0,0.093,"membrane function compounds","24"
"438","430/24","G323/23","2","Niaproof",2,48,0.209,"membrane function compounds","24"
"439","431/24","G323/23","3","Niaproof",2,0,0.133,"membrane function compounds","24"
"440","429/24","G323/23","1","Niaproof",2,48,0.196,"membrane function compounds","24"
"441","401/24","G321/23","3","Niaproof",2,96,0.751,"membrane function compounds","24"
"442","414/24","G322/23","1","Niaproof",2,24,0.168,"membrane function compounds","24"
"443","416/24","G322/23","3","Niaproof",2,48,0.24,"membrane function compounds","24"
"444","429/24","G323/23","1","Niaproof",2,72,0.156,"membrane function compounds","24"
"445","414/24","G322/23","1","Niaproof",2,48,0.158,"membrane function compounds","24"
"446","415/24","G322/23","2","Niaproof",2,96,1.235,"membrane function compounds","24"
"447","431/24","G323/23","3","Niaproof",2,48,0.188,"membrane function compounds","24"
"448","430/24","G323/23","2","Niaproof",2,96,1,"membrane function compounds","24"
"449","400/24","G321/23","2","Niaproof",2,0,0.099,"membrane function compounds","24"
"450","400/24","G321/23","2","Niaproof",2,96,0.447,"membrane function compounds","24"
"451","400/24","G321/23","2","Niaproof",2,72,0.205,"membrane function compounds","24"
"452","400/24","G321/23","2","Niaproof",2,48,0.111,"membrane function compounds","24"
"453","429/24","G323/23","1","Niaproof",2,24,0.144,"membrane function compounds","24"
"454","415/24","G322/23","2","Niaproof",2,24,0.095,"membrane function compounds","24"
"455","402/24","G322/23","1","Promethazine",3,24,0.099,"drugs","24"
"456","417/24","G323/23","1","Promethazine",3,24,0.178,"drugs","24"
"457","403/24","G322/23","2","Promethazine",3,0,0.116,"drugs","24"
"458","418/24","G323/23","2","Promethazine",3,72,0.127,"drugs","24"
"459","403/24","G322/23","2","Promethazine",3,72,0.153,"drugs","24"
"460","418/24","G323/23","2","Promethazine",3,48,0.126,"drugs","24"
"461","388/24","G321/23","2","Promethazine",3,48,0.119,"drugs","24"
"462","387/24","G321/23","1","Promethazine",3,24,0.294,"drugs","24"
"463","402/24","G322/23","1","Promethazine",3,72,0.1,"drugs","24"
"464","389/24","G321/23","3","Promethazine",3,48,0.209,"drugs","24"
"465","419/24","G323/23","3","Promethazine",3,48,0.149,"drugs","24"
"466","403/24","G322/23","2","Promethazine",3,96,0.127,"drugs","24"
"467","418/24","G323/23","2","Promethazine",3,96,0.127,"drugs","24"
"468","389/24","G321/23","3","Promethazine",3,96,0.204,"drugs","24"
"469","387/24","G321/23","1","Promethazine",3,48,0.322,"drugs","24"
"470","389/24","G321/23","3","Promethazine",3,0,0.221,"drugs","24"
"471","388/24","G321/23","2","Promethazine",3,0,0.097,"drugs","24"
"472","387/24","G321/23","1","Promethazine",3,72,0.325,"drugs","24"
"473","387/24","G321/23","1","Promethazine",3,96,0.381,"drugs","24"
"474","417/24","G323/23","1","Promethazine",3,0,0.108,"drugs","24"
"475","419/24","G323/23","3","Promethazine",3,0,0.156,"drugs","24"
"476","402/24","G322/23","1","Promethazine",3,48,0.106,"drugs","24"
"477","388/24","G321/23","2","Promethazine",3,96,0.097,"drugs","24"
"478","402/24","G322/23","1","Promethazine",3,96,0.1,"drugs","24"
"479","404/24","G322/23","3","Promethazine",3,96,0.11,"drugs","24"
"480","389/24","G321/23","3","Promethazine",3,24,0.248,"drugs","24"
"481","404/24","G322/23","3","Promethazine",3,0,0.166,"drugs","24"
"482","417/24","G323/23","1","Promethazine",3,96,0.116,"drugs","24"
"483","419/24","G323/23","3","Promethazine",3,72,0.155,"drugs","24"
"484","404/24","G322/23","3","Promethazine",3,48,0.123,"drugs","24"
"485","389/24","G321/23","3","Promethazine",3,72,0.218,"drugs","24"
"486","419/24","G323/23","3","Promethazine",3,24,0.18,"drugs","24"
"487","418/24","G323/23","2","Promethazine",3,0,0.101,"drugs","24"
"488","404/24","G322/23","3","Promethazine",3,72,0.11,"drugs","24"
"489","417/24","G323/23","1","Promethazine",3,48,0.117,"drugs","24"
"490","402/24","G322/23","1","Promethazine",3,0,0.093,"drugs","24"
"491","403/24","G322/23","2","Promethazine",3,48,0.163,"drugs","24"
"492","419/24","G323/23","3","Promethazine",3,96,0.17,"drugs","24"
"493","418/24","G323/23","2","Promethazine",3,24,0.115,"drugs","24"
"494","388/24","G321/23","2","Promethazine",3,72,0.116,"drugs","24"
"495","403/24","G322/23","2","Promethazine",3,24,0.152,"drugs","24"
"496","417/24","G323/23","1","Promethazine",3,72,0.116,"drugs","24"
"497","404/24","G322/23","3","Promethazine",3,24,0.137,"drugs","24"
"498","388/24","G321/23","2","Promethazine",3,24,0.109,"drugs","24"
"499","387/24","G321/23","1","Promethazine",3,0,0.098,"drugs","24"
"500","420/24","G323/23","1","Caffeine",3,72,0.141,"others","24"
"501","392/24","G321/23","3","Caffeine",3,0,0.103,"others","24"
"502","422/24","G323/23","3","Caffeine",3,72,0.119,"others","24"
"503","422/24","G323/23","3","Caffeine",3,0,0.1,"others","24"
"504","391/24","G321/23","2","Caffeine",3,72,0.102,"others","24"
"505","406/24","G322/23","2","Caffeine",3,72,0.13,"others","24"
"506","407/24","G322/23","3","Caffeine",3,0,0.098,"others","24"
"507","421/24","G323/23","2","Caffeine",3,0,0.09,"others","24"
"508","420/24","G323/23","1","Caffeine",3,0,0.094,"others","24"
"509","422/24","G323/23","3","Caffeine",3,48,0.125,"others","24"
"510","405/24","G322/23","1","Caffeine",3,96,0.106,"others","24"
"511","390/24","G321/23","1","Caffeine",3,48,0.106,"others","24"
"512","406/24","G322/23","2","Caffeine",3,0,0.102,"others","24"
"513","420/24","G323/23","1","Caffeine",3,24,0.098,"others","24"
"514","406/24","G322/23","2","Caffeine",3,96,0.167,"others","24"
"515","420/24","G323/23","1","Caffeine",3,96,0.245,"others","24"
"516","405/24","G322/23","1","Caffeine",3,0,0.09,"others","24"
"517","391/24","G321/23","2","Caffeine",3,24,0.095,"others","24"
"518","392/24","G321/23","3","Caffeine",3,48,0.121,"others","24"
"519","405/24","G322/23","1","Caffeine",3,48,0.093,"others","24"
"520","421/24","G323/23","2","Caffeine",3,48,0.097,"others","24"
"521","421/24","G323/23","2","Caffeine",3,24,0.096,"others","24"
"522","390/24","G321/23","1","Caffeine",3,72,0.193,"others","24"
"523","391/24","G321/23","2","Caffeine",3,48,0.095,"others","24"
"524","407/24","G322/23","3","Caffeine",3,48,0.12,"others","24"
"525","406/24","G322/23","2","Caffeine",3,24,0.112,"others","24"
"526","391/24","G321/23","2","Caffeine",3,0,0.092,"others","24"
"527","406/24","G322/23","2","Caffeine",3,48,0.146,"others","24"
"528","407/24","G322/23","3","Caffeine",3,96,0.113,"others","24"
"529","405/24","G322/23","1","Caffeine",3,72,0.092,"others","24"
"530","405/24","G322/23","1","Caffeine",3,24,0.092,"others","24"
"531","420/24","G323/23","1","Caffeine",3,48,0.127,"others","24"
"532","422/24","G323/23","3","Caffeine",3,24,0.135,"others","24"
"533","391/24","G321/23","2","Caffeine",3,96,0.114,"others","24"
"534","406/24","G322/23","2","Caffeine",3,96,0,"others","24"
"535","421/24","G323/23","2","Caffeine",3,72,0.121,"others","24"
"536","421/24","G323/23","2","Caffeine",3,96,0.191,"others","24"
"537","422/24","G323/23","3","Caffeine",3,96,0.12,"others","24"
"538","390/24","G321/23","1","Caffeine",3,96,0.45,"others","24"
"539","392/24","G321/23","3","Caffeine",3,72,0.11,"others","24"
"540","392/24","G321/23","3","Caffeine",3,96,0.109,"others","24"
"541","390/24","G321/23","1","Caffeine",3,24,0.097,"others","24"
"542","407/24","G322/23","3","Caffeine",3,24,0.105,"others","24"
"543","390/24","G321/23","1","Caffeine",3,0,0.092,"others","24"
"544","392/24","G321/23","3","Caffeine",3,24,0.103,"others","24"
"545","407/24","G322/23","3","Caffeine",3,72,0.117,"others","24"
"546","424/24","G323/23","2","Ammonium Sulfate",3,96,0.255,"salts","24"
"547","395/24","G321/23","3","Ammonium Sulfate",3,72,0.123,"salts","24"
"548","393/24","G321/23","1","Ammonium Sulfate",3,72,0.096,"salts","24"
"549","393/24","G321/23","1","Ammonium Sulfate",3,96,0.095,"salts","24"
"550","395/24","G321/23","3","Ammonium Sulfate",3,48,0.107,"salts","24"
"551","393/24","G321/23","1","Ammonium Sulfate",3,24,0.097,"salts","24"
"552","408/24","G322/23","1","Ammonium Sulfate",3,96,0.138,"salts","24"
"553","423/24","G323/23","1","Ammonium Sulfate",3,0,0.096,"salts","24"
"554","424/24","G323/23","2","Ammonium Sulfate",3,24,0.31,"salts","24"
"555","409/24","G322/23","2","Ammonium Sulfate",3,48,0.182,"salts","24"
"556","410/24","G322/23","3","Ammonium Sulfate",3,24,0.095,"salts","24"
"557","424/24","G323/23","2","Ammonium Sulfate",3,72,0.254,"salts","24"
"558","410/24","G322/23","3","Ammonium Sulfate",3,48,0.098,"salts","24"
"559","423/24","G323/23","1","Ammonium Sulfate",3,96,0.119,"salts","24"
"560","410/24","G322/23","3","Ammonium Sulfate",3,96,0.156,"salts","24"
"561","424/24","G323/23","2","Ammonium Sulfate",3,48,0.261,"salts","24"
"562","409/24","G322/23","2","Ammonium Sulfate",3,0,0.169,"salts","24"
"563","409/24","G322/23","2","Ammonium Sulfate",3,24,0.185,"salts","24"
"564","395/24","G321/23","3","Ammonium Sulfate",3,0,0.093,"salts","24"
"565","394/24","G321/23","2","Ammonium Sulfate",3,48,0.214,"salts","24"
"566","408/24","G322/23","1","Ammonium Sulfate",3,48,0.109,"salts","24"
"567","394/24","G321/23","2","Ammonium Sulfate",3,24,0.281,"salts","24"
"568","423/24","G323/23","1","Ammonium Sulfate",3,48,0.112,"salts","24"
"569","408/24","G322/23","1","Ammonium Sulfate",3,24,0.115,"salts","24"
"570","425/24","G323/23","3","Ammonium Sulfate",3,24,0.097,"salts","24"
"571","393/24","G321/23","1","Ammonium Sulfate",3,48,0.098,"salts","24"
